,Time,Left_Ankle,Left_Knee,Left_Hip
92,1.86,42.65630340576172,99.57283782958984,69.92092895507812
93,1.88,42.64530563354492,99.55867004394531,69.93466186523438
94,1.9,42.64550018310547,99.56744384765625,70.07711029052734
95,1.92,41.53396987915039,97.4491958618164,69.3621597290039
96,1.94,42.054569244384766,98.38256072998047,70.05575561523438
97,1.96,41.53794860839844,98.046630859375,69.70882415771484
98,1.98,41.52597427368164,97.409912109375,69.62570190429688
99,2.0,41.56736373901367,97.43482208251953,69.60513305664062
100,2.02,42.058326721191406,96.69635009765625,68.51231384277344
101,2.04,41.503116607666016,94.93730163574219,67.59578704833984
102,2.06,40.422054290771484,92.914306640625,65.5108413696289
103,2.08,39.79291915893555,91.23844909667969,64.18772888183594
104,2.1,37.84878158569336,86.74388122558594,61.36273193359375
105,2.12,36.703277587890625,84.46057891845703,59.7642822265625
106,2.14,36.005977630615234,81.014892578125,57.25880432128906
107,2.16,33.94436264038086,78.9579849243164,56.33887481689453
108,2.18,33.455177307128906,75.08386993408203,50.79322814941406
109,2.2,30.998226165771484,70.41033172607422,48.867706298828125
110,2.22,27.713050842285156,64.30152130126953,46.154083251953125
111,2.24,27.243118286132812,63.66405487060547,48.05165100097656
112,2.26,25.759910583496094,57.51670837402344,41.22265625
113,2.28,20.757965087890625,49.46635437011719,38.54951477050781
114,2.3,19.444869995117188,45.665618896484375,35.107025146484375
115,2.32,17.936630249023438,43.13287353515625,34.93011474609375
116,2.34,13.332809448242188,37.144927978515625,34.42823791503906
117,2.36,13.062515258789062,35.40504455566406,31.222061157226562
118,2.38,8.616294860839844,25.324600219726562,25.97735595703125
119,2.4,7.7868194580078125,21.24908447265625,21.030303955078125
120,2.42,3.8717269897460938,13.3702392578125,17.077133178710938
121,2.44,2.3039016723632812,10.969192504882812,15.659713745117188
122,2.46,1.621795654296875,7.912506103515625,12.072402954101562
123,2.48,0.80499267578125,6.2142791748046875,10.604049682617188
124,2.5,-2.4180145263671875,0.1251220703125,7.5311737060546875
125,2.52,-3.1727371215820312,1.584259033203125,6.235687255859375
126,2.54,-3.239501953125,1.67083740234375,6.200408935546875
127,2.56,-4.82562255859375,3.2662200927734375,6.2115631103515625
128,2.58,-4.909736633300781,3.371978759765625,5.578125
129,2.6,-4.909812927246094,4.129913330078125,4.2833709716796875
130,2.62,-4.842987060546875,4.059417724609375,4.8267059326171875
131,2.64,-4.686492919921875,3.8613433837890625,4.9517669677734375
132,2.66,-3.9600601196289062,2.4255218505859375,5.60711669921875
133,2.68,-3.9507293701171875,2.394500732421875,5.6424713134765625
134,2.7,-4.050651550292969,3.23150634765625,4.87054443359375
135,2.72,-3.2875823974609375,1.7646026611328125,5.566558837890625
136,2.74,-3.2104721069335938,1.626556396484375,5.09820556640625
137,2.76,-2.4417648315429688,0.1440277099609375,5.79608154296875
138,2.78,-0.803253173828125,3.687286376953125,7.9779205322265625
139,2.8,0.8456192016601562,6.1548919677734375,8.790924072265625
140,2.82,1.6288681030273438,7.0518341064453125,9.49725341796875
141,2.84,2.4506759643554688,8.632843017578125,9.700286865234375
142,2.86,5.536529541015625,15.012481689453125,12.99053955078125
143,2.88,7.1736907958984375,19.885940551757812,16.742599487304688
144,2.9,9.595123291015625,24.391815185546875,19.409591674804688
145,2.92,12.413101196289062,32.6082763671875,24.72442626953125
146,2.94,14.092506408691406,34.22515869140625,24.178482055664062
147,2.96,16.957725524902344,41.551910400390625,31.049942016601562
148,2.98,19.437889099121094,46.30036926269531,32.61955261230469
149,3.0,21.056716918945312,50.285186767578125,36.859954833984375
150,3.02,25.0550537109375,56.54785919189453,37.825592041015625
151,3.04,26.900196075439453,60.18260192871094,39.17790222167969
152,3.06,28.018699645996094,64.17506408691406,43.79150390625
153,3.08,28.4117431640625,66.84098052978516,46.14286804199219
154,3.1,31.684505462646484,73.96829223632812,49.91926574707031
